%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle,proc/s,cswch/s,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,tps,rtps,wtps,bread/s,bwrtn/s,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused,kbswpfree,kbswpused,%swpused,kbswpcad,%swpcad,kbhugfree,kbhugused,%hugused,dentunusd,file-nr,inode-nr,pty-nr,runq-sz,plist-sz,ldavg-1,ldavg-5,ldavg-15,blocked,rcvin/s,xmtin/s,framerr/s,prtyerr/s,brk/s,ovrun/s,tps,rkB/s,wkB/s,areq-sz,aqu-sz,await,svctm,%util,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil,rxerr/s,txerr/s,coll/s,rxdrop/s,txdrop/s,txcarr/s,rxfram/s,rxfifo/s,txfifo/s,call/s,retrans/s,read/s,write/s,access/s,getatt/s,scall/s,badcall/s,packet/s,udp/s,tcp/s,hit/s,miss/s,sread/s,swrite/s,saccess/s,sgetatt/s,totsck,tcpsck,udpsck,rawsck,ip-frag,tcp-tw,irec/s,fwddgm/s,idel/s,orq/s,asmrq/s,asmok/s,fragok/s,fragcrt/s,ihdrerr/s,iadrerr/s,iukwnpr/s,idisc/s,odisc/s,onort/s,asmf/s,fragf/s,imsg/s,omsg/s,iech/s,iechr/s,oech/s,oechr/s,itm/s,itmr/s,otm/s,otmr/s,iadrmk/s,iadrmkr/s,oadrmk/s,oadrmkr/s,ierr/s,oerr/s,idstunr/s,odstunr/s,itmex/s,otmex/s,iparmpb/s,oparmpb/s,isrcq/s,osrcq/s,iredir/s,oredir/s,active/s,passive/s,iseg/s,oseg/s,atmptf/s,estres/s,retrans/s,isegerr/s,orsts/s,idgm/s,odgm/s,noport/s,idgmerr/s,tcp6sck,udp6sck,raw6sck,ip6-frag,irec6/s,fwddgm6/s,idel6/s,orq6/s,asmrq6/s,asmok6/s,imcpck6/s,omcpck6/s,fragok6/s,fragcr6/s,ihdrer6/s,iadrer6/s,iukwnp6/s,i2big6/s,idisc6/s,odisc6/s,inort6/s,onort6/s,asmf6/s,fragf6/s,itrpck6/s,imsg6/s,omsg6/s,iech6/s,iechr6/s,oechr6/s,igmbq6/s,igmbr6/s,ogmbr6/s,igmbrd6/s,ogmbrd6/s,irtsol6/s,ortsol6/s,irtad6/s,inbsol6/s,onbsol6/s,inbad6/s,onbad6/s,ierr6/s,idtunr6/s,odtunr6/s,itmex6/s,otmex6/s,iprmpb6/s,oprmpb6/s,iredir6/s,oredir6/s,ipck2b6/s,opck2b6/s,idgm6/s,odgm6/s,noport6/s,idgmer6/s,total/s,dropd/s,squeezd/s,rx_rps/s,flw_lim/s,MHz
2.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,91.00,0.00,386.00,0.00,0.00,0.00,0.00,4.00,0.00,20252.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589980,1087700,1450740,71.09,50996,565612,3839136,188.13,909108,375944,248,668524,102040,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,2,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39831.00,885.00,57944.52,46.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,39825.00,0.00,885.00,885.00,39825.00,885.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,885.00,885.00,0.00,0.00,0.00,0.00,885.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39876.00,0.00,0.00,0.00,0.00,1995.37
2.51,0.00,0.00,0.00,0.00,0.00,4.52,0.00,0.00,92.96,0.00,381.00,0.00,0.00,0.00,0.00,3.00,0.00,14289.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589916,1087636,1450804,71.09,50996,565628,3839136,188.13,909164,375944,264,668532,102040,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,2,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28397.00,631.00,41313.98,33.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,28440.00,0.00,632.00,632.00,28440.00,632.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,632.00,632.00,0.00,0.00,0.00,0.00,632.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28442.00,0.00,0.00,0.00,0.00,1995.37
2.46,0.00,0.00,9.36,0.00,0.00,6.40,0.00,0.00,81.77,0.00,386.00,0.00,0.00,0.00,216.00,0.00,0.00,15399.00,0.00,0.00,0.00,0.00,46.00,0.00,46.00,0.00,432.00,589948,1087668,1450772,71.09,50996,565644,3839136,188.13,909164,375944,56,668532,102040,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,216.00,4.70,2.01,48.96,5.48,25.20,30559.00,679.00,44456.83,35.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,30510.00,0.00,678.00,678.00,30510.00,678.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,679.00,679.00,0.00,0.00,0.00,0.00,679.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30559.00,0.00,0.00,0.00,0.00,1995.37
2.96,0.00,0.49,0.00,0.00,0.00,5.91,0.00,0.00,90.64,0.00,385.00,0.00,0.00,0.00,0.00,0.00,0.00,13505.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589980,1087736,1450740,71.09,50996,565660,3839136,188.13,909164,375980,72,668532,102040,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26826.00,596.00,39022.83,31.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,26821.00,0.00,597.00,596.00,26820.00,596.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,595.00,595.00,0.00,0.00,0.00,0.00,595.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26781.00,0.00,0.00,0.00,0.00,1995.37
2.01,0.00,0.50,0.00,0.00,0.00,4.52,0.00,0.00,92.96,0.00,372.00,0.00,0.00,0.00,0.00,0.00,0.00,13801.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589792,1087552,1450928,71.10,50996,565676,3839136,188.13,909164,375980,88,668532,102044,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27498.00,611.00,40004.57,32.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,27495.00,0.00,611.00,611.00,27495.00,611.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,612.00,612.00,0.00,0.00,0.00,0.00,612.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27543.00,0.00,0.00,0.00,0.00,1995.37
2.53,0.00,0.00,1.52,0.00,0.00,5.05,0.00,0.00,90.91,0.00,398.00,0.00,0.00,0.00,32.00,0.00,0.00,14241.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,64.00,589856,1087672,1450864,71.10,51004,565692,3839136,188.13,909172,376028,124,668532,102044,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,32.00,16.00,0.00,24.00,0.00,0.00,28217.00,627.00,41052.08,33.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,28215.00,0.00,627.00,627.00,28215.00,627.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,626.00,626.00,0.00,0.00,0.00,0.00,626.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28172.00,0.00,0.00,0.00,0.00,1995.37
3.02,0.00,0.00,0.00,0.50,0.00,3.52,0.00,0.00,92.96,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,13185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589856,1087672,1450864,71.10,51004,565708,3839136,188.13,909172,376028,140,668532,102044,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26152.00,581.00,38040.59,30.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,26145.00,0.00,581.00,581.00,26145.00,581.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,581.00,581.00,0.00,0.00,0.00,0.00,581.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26152.00,0.00,0.00,0.00,0.00,1995.37
3.52,0.00,0.00,0.00,0.00,0.00,3.52,0.00,0.00,92.96,0.00,371.00,0.00,0.00,0.00,0.00,0.00,0.00,11770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589792,1087608,1450928,71.10,51004,565720,3839136,188.13,909172,376028,152,668532,102044,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23363.00,519.00,33981.28,27.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,23355.00,0.00,519.00,519.00,23355.00,519.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,519.00,519.00,0.00,0.00,0.00,0.00,519.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23318.00,0.00,0.00,0.00,0.00,1995.37
2.51,0.00,0.50,0.00,0.00,0.00,3.52,0.00,0.00,93.47,0.00,368.00,0.00,0.00,0.00,0.00,0.00,0.00,10649.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589856,1087672,1450864,71.10,51004,565736,3839136,188.13,909172,376028,168,668532,102044,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21201.00,471.00,30838.43,24.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,21240.00,0.00,472.00,472.00,21240.00,472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,472.00,472.00,0.00,0.00,0.00,0.00,472.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21291.00,0.00,0.00,0.00,0.00,1995.37
2.02,0.00,0.51,0.00,0.00,0.00,3.54,0.00,0.00,93.94,0.00,365.00,0.00,0.00,0.00,0.00,0.00,0.00,10937.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,589952,1087824,1450768,71.09,51004,565752,3839136,188.13,909172,376084,184,668532,102044,7360,29596,0,0,0,0.00,0,0.00,0,0,0.00,27527,7872,37471,0,0,460,0.07,0.11,0.09,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21698.00,483.00,31558.76,25.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733,3,5,0,0,0,21690.00,0.00,482.00,482.00,21690.00,482.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,482.00,482.00,0.00,0.00,0.00,0.00,482.00,0.00,0.00,0.00,0.00,3,2,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21653.00,0.00,0.00,0.00,0.00,1995.37
